0,1,2,3,4,5,6,7
1,7Seas Entertainment Ltd.,-,1.52,1.52,1.52,1.52,0.40
2,CSB Bank Ltd.,1.26,1.26,1.26,1.26,1.26,55.83
3,Genus Power Infrastructures Ltd.,1.16,1.16,-,-,Filing Due,0
4,GFL Ltd.,1.26,1.26,1.26,1.26,1.26,7.55
5,Greenlam Industries Ltd.,1.22,1.22,1.22,1.16,1.16,45.38
6,Gujarat Fluorochemicals Ltd.,1.08,-,-,-,-,0
7,Inox Wind Energy Ltd.,1.26,-,-,-,-,0
8,UFO Moviez India Ltd.,1.22,-,-,-,-,0
9,Zodiac Clothing Company Ltd.,2.68,2.68,2.68,2.68,2.68,6.09
10,Vascon Engineers Ltd.,1.09,-,1.09,1.09,-,0
11,PDS Ltd.,-,-,-,-,1.76,78.42
